label,label_name,img_name
9,Ankle boot,0
0,T-shirt/top,1
0,T-shirt/top,2
3,Dress,3
0,T-shirt/top,4
2,Pullover,5
7,Sneaker,6
2,Pullover,7
5,Sandal,8
5,Sandal,9
0,T-shirt/top,10
9,Ankle boot,11
5,Sandal,12
5,Sandal,13
7,Sneaker,14
9,Ankle boot,15
1,Trouser,16
0,T-shirt/top,17
6,Shirt,18
4,Coat,19
3,Dress,20
1,Trouser,21
4,Coat,22
8,Bag,23
4,Coat,24
3,Dress,25
0,T-shirt/top,26
2,Pullover,27
4,Coat,28
4,Coat,29
5,Sandal,30
3,Dress,31
6,Shirt,32
6,Shirt,33
0,T-shirt/top,34
8,Bag,35
5,Sandal,36
2,Pullover,37
1,Trouser,38
6,Shirt,39
6,Shirt,40
7,Sneaker,41
9,Ankle boot,42
5,Sandal,43
9,Ankle boot,44
2,Pullover,45
7,Sneaker,46
3,Dress,47
0,T-shirt/top,48
3,Dress,49
3,Dress,50
3,Dress,51
7,Sneaker,52
2,Pullover,53
2,Pullover,54
6,Shirt,55
6,Shirt,56
8,Bag,57
3,Dress,58
3,Dress,59
5,Sandal,60
0,T-shirt/top,61
5,Sandal,62
5,Sandal,63
0,T-shirt/top,64
2,Pullover,65
0,T-shirt/top,66
0,T-shirt/top,67
4,Coat,68
1,Trouser,69
3,Dress,70
1,Trouser,71
6,Shirt,72
3,Dress,73
1,Trouser,74
4,Coat,75
4,Coat,76
6,Shirt,77
1,Trouser,78
9,Ankle boot,79
1,Trouser,80
3,Dress,81
5,Sandal,82
7,Sneaker,83
9,Ankle boot,84
7,Sneaker,85
1,Trouser,86
7,Sneaker,87
9,Ankle boot,88
9,Ankle boot,89
9,Ankle boot,90
3,Dress,91
2,Pullover,92
9,Ankle boot,93
3,Dress,94
6,Shirt,95
4,Coat,96
1,Trouser,97
1,Trouser,98
8,Bag,99
8,Bag,100
0,T-shirt/top,101
1,Trouser,102
1,Trouser,103
6,Shirt,104
8,Bag,105
1,Trouser,106
9,Ankle boot,107
7,Sneaker,108
8,Bag,109
8,Bag,110
9,Ankle boot,111
6,Shirt,112
6,Shirt,113
3,Dress,114
1,Trouser,115
5,Sandal,116
4,Coat,117
6,Shirt,118
7,Sneaker,119
